frequency, decay constant, Q, amplitude, phase, error
0.0999691, -1.089450e-02, -28.8276, 0.00577431, -3.07837, 1.752289e-04
0.118741, 5.552573e-03, 67.1823, 170.25, 1.03099, 3.010756e-05
0.140304, 9.201788e-03, 47.9014, 90.1705, -2.29027, 1.464322e-04
0.154716, -6.720520e-03, -72.324, 4.42803, -1.96438, 8.018322e-05
0.175288, -1.307436e-03, -421.193, 24.2331, 1.89561, 2.990106e-05
0.194233, 1.891247e-03, 322.645, 26.6923, 2.87462, 5.258255e-05
0.224487, 2.157648e-03, 326.859, 54.506, 0.844388, 1.753613e-05
0.235219, 4.957958e-03, 149.045, 10.4712, 1.88387, 9.090340e-05
0.255614, 1.853283e-02, 43.3305, 411.662, 1.96033, 1.760689e-04
0.268968, 1.979254e-04, 4269.22, 1.3474, 1.04792, 2.560397e-04
0.290858, 6.399390e-04, 1427.88, 3.44128, 0.862821, 1.778720e-04
0.311841, 3.307014e-03, 296.243, 27.524, -0.113311, 5.090418e-05
0.330589, 3.514789e-03, 295.487, 43.4532, 0.980821, 2.995478e-05
0.348641, 2.598947e-03, 421.436, 14.4327, 1.51935, 4.576255e-05
0.368285, 5.874672e-03, 196.947, 62.61, -0.377243, 3.827942e-05
0.387887, 5.605943e-03, 217.373, 24.8813, 2.41808, 5.595172e-05
0.406512, -4.801351e-03, -265.987, 1.92261, 1.59936, 3.399086e-05
0.425175, -2.428060e-03, -550.121, 9.48611, 2.04137, 1.385022e-05
0.447159, 5.128297e-03, 273.929, 35.714, 1.01935, 3.074494e-05
0.4674, -1.152376e-02, -127.422, 0.393225, -1.17742, 5.763188e-05
0.489066, 4.830408e-04, 3180.78, 1.59608, -1.05184, 1.070102e-04
0.503897, -2.415430e-05, -65538.6, 1.98087, 3.04053, 1.724568e-04
0.524942, -1.011948e-04, -16296.8, 15.0689, 1.4957, 1.336714e-05
0.539305, 6.217558e-03, 272.499, 23.0672, 0.806757, 7.533747e-05
0.561137, -2.689526e-02, -65.5456, 118.307, -2.13577, 1.343673e-04
0.581217, 2.822365e-03, 646.957, 20.5269, 1.96609, 2.865046e-05
0.59884, -1.956759e-02, -96.1442, 18.1378, -1.66227, 1.833975e-04
0.618391, 2.584878e-03, 751.577, 18.0359, 0.30419, 2.624078e-05
0.637675, 7.230179e-03, 277.077, 79.1772, 2.68174, 5.625062e-05
0.655901, 8.130808e-03, 253.428, 119.257, -1.18926, 9.454728e-05
0.675304, 2.369943e-03, 895.182, 17.2848, 1.97686, 2.810748e-05
0.694648, -3.947614e-05, -55281.5, 5.07968, -2.82578, 3.574178e-05
0.714447, 1.388588e-03, 1616.39, 4.98352, -1.05044, 8.063090e-05
0.733406, 6.727261e-03, 342.497, 16.5024, 0.885875, 4.929291e-05
0.752941, 1.587300e-02, 149.022, 104.21, 0.574889, 5.101360e-05
0.779298, -5.466322e-04, -4478.76, 2.39656, 1.01574, 5.895227e-05
0.791278, 4.451881e-03, 558.387, 19.3585, 0.646865, 5.980688e-05
0.811398, -3.125578e-03, -815.555, 3.33691, -1.48514, 2.368692e-05
0.830591, -2.785160e-03, -936.886, 6.66808, 0.981434, 1.110420e-05
0.850729, -3.550766e-03, -752.695, 4.80722, -2.22324, 2.389587e-05
0.857565, 2.679023e-03, 1005.64, 13.4159, -2.14059, 2.253112e-05
0.89306, 4.732294e-03, 592.869, 8.66439, -0.709389, 3.645299e-05
0.907122, -5.754101e-03, -495.266, 1.42669, 2.49801, 2.245964e-05
0.925519, -3.427205e-03, -848.389, 10.1764, 2.35523, 5.671607e-06
0.945279, -4.461355e-05, -66564.6, 33.7573, -1.86099, 3.964335e-06
0.964898, 4.481921e-03, 676.343, 136.788, 0.228432, 4.659318e-06
0.983133, 5.459401e-03, 565.741, 172.233, 0.216957, 4.583462e-06
1.00155, 2.849123e-03, 1104.36, 125.325, 0.849548, 2.623838e-06
1.0212, 7.215488e-03, 444.625, 245.433, 1.28684, 5.160425e-06
1.0401, 4.658595e-03, 701.409, 119.035, 2.17766, 4.708372e-06
1.05853, 1.632436e-03, 2037.13, 38.014, 2.89434, 4.916249e-06
1.07873, -1.820437e-03, -1861.6, 10.107, -0.406737, 6.632577e-06
1.0981, -1.580824e-03, -2182.27, 3.02843, 1.27034, 2.122509e-05
1.12176, -6.928244e-03, -508.659, 0.122856, -2.75175, 4.018264e-05
1.13471, 9.201559e-03, 387.411, 123.634, -2.2297, 4.872088e-05
1.1544, 2.454056e-03, 1477.82, 16.1521, -0.966333, 1.970831e-05
1.17158, 6.597615e-04, 5578.71, 13.8052, -2.67124, 1.438828e-05
1.19252, -1.775006e-02, -211.065, 40.2545, -0.985625, 5.128404e-05
1.20758, -1.320194e-02, -287.362, 0.16335, 0.0489018, 1.486837e-04
1.23222, -1.266487e-02, -305.66, 0.1097, 1.43293, 6.941431e-05
1.25145, 1.953808e-03, 2012.25, 12.2919, 1.58786, 1.282951e-05
1.26996, 8.500102e-03, 469.37, 47.7259, 1.97904, 2.858456e-05
1.29154, -5.504137e-03, -737.17, 0.390872, -0.4751, 5.471565e-05
1.30954, -4.938311e-03, -833.085, 0.787086, -1.84727, 4.899760e-05
1.32909, 1.274275e-02, 327.673, 306.144, -0.419491, 4.916629e-05
1.34439, -1.111258e-02, -380.067, 0.114601, -1.56675, 4.237343e-05
1.36736, -4.456926e-04, -9638.21, 2.31246, -0.271608, 2.762799e-05
1.38653, 5.903055e-03, 737.906, 14.0629, 2.38406, 4.825785e-05
1.4049, 9.979905e-03, 442.252, 42.2389, -1.051, 7.058996e-05
1.42419, 5.818569e-03, 768.954, 19.8048, 1.07659, 1.692141e-05
1.44291, 4.498301e-03, 1007.72, 13.7103, 1.88336, 1.721230e-05
1.47953, -2.563485e-02, -181.319, 33.0031, 2.93451, 1.718951e-04
1.48199, 5.405513e-02, 86.1307, 200.366, 2.21804, 2.454930e-04
1.50041, -6.066193e-03, -777.043, 0.118998, -0.582937, 1.571080e-04
1.51895, -3.671563e-03, -1299.7, 0.704408, 0.788611, 1.040003e-04
